,DealNumber,AcquirorCUSIP,TargetCUSIP,TargetPublicStatus,ofSharesAcq,seekingtoownaftertrans,PercentofSharesHeldatAnnoun,OwnedAfterTransaction,edate,AcquirorFullName,TargetName,AcquirorPrimarySICCode,TargetPrimarySICCode,ValueofTransactionmil,Form,ConsiderationStructure,ConsidStructureDescription,NumberofBidders,Attitude,SharePricePaidbyAcquirorfort,OfferPricetoTargetStockPricet,Z,dealno,carwindow1_acq,carwindow2_acq,carwindow3_acq,carwindow4_acq,carwindow5_acq,carwindow6_acq,carwindow5_tar,carwindow4_tar,carwindow3_tar,carwindow2_tar,carwindow1_tar,acqprem1,acqprem2,gvkey_a,cusip8_comp_a,datadate_compu_a,cusip_compu_a,conm_compu_a,at_a,intan_a,re_a,sale_a,xad_a,xrd_a,costat_compu_a,sic_compu_a,ipodate_compu_a,ebit_ta_a,mktcap_a,dep_ta_a,rd_ta_a,mdr_a,fa_ta_a,mb_a,bdr_a,abs_a,unabs_a,pot_a,gvkey_t,cusip8_comp_t,datadate_compu_t,cusip_compu_t,conm_compu_t,at_t,re_t,sale_t,xad_t,xrd_t,costat_compu_t,ebit_ta_t,mktcap_t,dep_ta_t,rd_ta_t,mdr_t,fa_ta_t,mb_t,bdr_t,abs_t,unabs_t,pot_t,R,Acq Density,Target Density,TNIC 3 years avg,TNIC > 3 years avg
971,362100020,820484,709790,Public,100,100,,100,8/23/1993,Shawmut National Corp,"Peoples Bancorp of Worcester Inc,Worcester,Massachusetts",6021,6021,181.55,Merger,SHARES,Stock Only,1,Friendly,53.77,79.22,72.05,362100020,-0.008788634,-0.027960509,-0.079660945,-0.107591674,-0.098282658,-0.113449879,0.458126009,0.450996995,0.452644706,0.227988228,0.227992564,1.792333364,1.792333364,5501,82048410,12053,820484103,SHAWMUT NATIONAL CORP,25288.297,,300.798,2023.858,,,I,6020,,0.003065292,1700.202026,,0,0.783095896,0.013307974,0.317033887,0.242732629,0.289956599,,0.783095896,16988,70979010,12053,709790109,PEOPLES BANCORP OF WORCESTER,,,,,,I,,97.10399628,,,0,,,,,,0,,,,,
972,362373020,924180,954250,Public,100,100,,100,8/24/1993,"Vermont Financial Services Corp,Brattleboro,Vermont",West Mass Bankshares Inc,6021,6036,24.06,Merger,SHARES,Stock Only,1,Friendly,18.98,82.94,66.86,362373020,-0.050498426,-0.066429459,-0.109052591,-0.106523566,-0.081281915,-0.122949302,0.358375698,0.329597533,0.33500433,0.33966738,0.344408005,1.829397559,1.829397559,17314,92418010,12053,924180102,VERMONT FINANCIAL SERVICES,,,,,,,I,6020,,,52.71549988,,,0,,,,,,0,17153,95425010,12053,954250106,WEST MASS BANKSHARES,,,,,,I,,8.961000443,,,0,,,,,,0,,,,,
973,362853020,950810,320192,Public,100,100,,100,8/26/1993,"WesBanco Inc,Wheeling,West Virginia","First Fidelity Bancorp Inc Fairmont,WV",6021,6022,75.41,Merger,SHARES,Stock Only,1,Friendly,30.6,57.94,33.04,362853020,-0.027207626,-0.084041812,-0.060529348,-0.074924789,-0.040006544,-0.07881362,0.186747357,0.153391585,0.171418175,0.15281263,0.158034861,1.579354882,1.579354882,17151,95081010,12053,950810101,WESBANCO INC,1010.104,,,,,,A,6020,,0.012794722,119.8289948,,0,0,,0.118630357,0,,,0,16834,32019210,12053,320192107,FST FID BANCORP FAIRMONT WV,,,,,,I,,45.10350037,,,0,,,,,,0,,,,,
974,363183020,62543V,743757,Public,100,100,,100,8/30/1993,Multicare Cos Inc,Providence Health Care Inc,8051,8051,27.74,Merger,CASHO,Cash Only,1,Friendly,7.5,130.77,130.77,363183020,,,,,,,0.280119181,0.38773042,0.272887707,0.142093822,0.07325983,2.307692289,2.307692289,28767,62543V10,12053,62543V105,MULTICARE COS INC,155.485,,1.198,126.007,,,I,8051,12283,0.0844969,,0.0276554,0,1,0.548297286,0.944824278,0.944824278,0.111454129,1.979739666,1,24924,74375710,12053,743757106,PROVIDENCE HEALTH CARE INC,48.481,-1.729,27.557,0.218,,I,0.081887744,14.42749977,0.026814628,0,0.686580122,0.642065942,0.977279782,0.651904881,0.16649127,1.78432405,0.686580122,,,,,
975,363527020,682092,70726L,Public,100,100,,100,09-01-1993,"Omega Financial Corp,State College,Pennsylvania",Penn Central Bancorp Inc,6021,6021,75,Merger,SHARES,Stock Only,1,Friendly,68.06,103.16,103.16,363527020,-0.039362784,0.017178411,0.008872803,-0.004219915,-0.007590363,-0.042737119,0.236855388,0.207709745,0.164755076,0.153181821,0.156284973,2.031641722,2.031641722,19156,68209210,12053,682092101,OMEGA FINANCIAL CORP,,,,,,,I,6020,,,65.44937134,,,0,,,,,,0,19337,70726L10,12053,70726L109,PENN CENT BANCORP INC,,,,,,I,,,,,,,,,,,,,,,,
976,363555020,461202,170027,Public,100,100,,100,09-01-1993,Intuit Inc,ChipSoft Inc,7372,7372,226.6,Merger,SHARES,Stock Only,1,Friendly,13.94,41.16,-3.86,363555020,0.014986983,0.004682351,0.059953164,0.063586004,0.12836355,0.097174637,-0.053318288,-0.012198584,-0.058611166,-0.072537713,-0.034524333,1.411645532,1.411645532,27928,46120210,11961,461202103,INTUIT INC,29.634,0,3.475,83.793,6.562,8.335,A,7372,12124,0.276979148,,0.049132753,0.281264752,1,0.188735917,0.422116488,0.013498009,0.55916363,0.744619429,1,25126,17002710,11869,170027106,CHIPSOFT INC/DE  -CL A,49.568,-8.889,50.548,2.401,6.628,I,0.03621288,145.3999939,0.207633957,0.133715302,0,0.049225308,2.933343887,0,0.55638206,2.945372581,0,,,,,
977,363969020,261597,68277,Public,100,100,,100,09-07-1993,Dresser Industries Inc,Baroid Corp,3533,3533,842.2,Merger,SHARES,Stock Only,1,Friendly,9.1,25.52,21.33,363969020,0.02226888,-0.030922713,-0.061648607,-0.039373979,-0.061332528,-0.08162681,0.132282197,0.11642959,0.119576208,0.106032297,0.077735119,1.255172372,1.255172372,4073,26159710,11992,261597108,DRESSER INDUSTRIES INC,3187.8,378.8,866.6,3797,,11,I,1382,,0.05144614,2584.49707,0.030930422,0.003450656,0.044511862,0.206192359,0.848515272,0.037768994,0.200158015,0.11776311,0.044511862,15102,6827710,12053,68277102,BAROID CORP,560.132,-17.687,614.458,,18,I,0.075560756,419.1524963,0.072324023,0.032135282,0.306600869,0.290770739,1.079191208,0.33088094,0.223613337,0.134332448,0.306600869,,,,,
978,364106020,2786,891509,Public,100,100,,100,09-07-1993,Abbey Healthcare Group Inc,Total Pharmaceutical Care Inc,8099,8099,185.6,Merger,HYBRID,Cash and Stock Combination,1,Friendly,23,87.76,67.27,364106020,-0.002129531,-0.003393496,-0.008484965,-0.085971378,-0.150259078,-0.090823852,0.613382757,0.594155908,0.587727547,0.645020723,0.666405976,1.877551079,1.877551079,24977,278610,12053,2786101,ABBEY HEALTHCARE GROUP INC,184.957,11.788,-16.466,248.673,,,I,8082,,0.108533338,145.9680023,0.08492244,0,0.399545848,0.345464081,1.314337969,0.525138259,0.569008291,0.568010449,0.399545848,23718,89150910,12053,891509101,TOTAL PHARMACEUT CARE,89.952,10.404,63.397,,,I,0.127634734,114.9994965,0.03263963,0,0.001727453,0.055740841,1.280666351,0.002212291,0.288373262,3.460601568,0.001727453,,,,,
979,364564020,65068,162332,Public,100,100,,100,09-09-1993,"Bank South Corp,Atlanta, Georgia",Chattahoochee Bancorp Inc,6021,6021,46,Merger,SHARES,Stock Only,1,Friendly,11.5,31.43,24.32,364564020,-0.018953139,-0.022289064,-0.060816523,-0.040102348,-0.06481842,-0.054632902,0.124449596,0.144544899,0.140609488,0.096809074,0.125900254,1.314285755,1.314285755,2021,6506810,12053,65068108,BANK SOUTH CORP,4464.457,,21.928,460.151,,,I,6020,,0.007770486,491.2087402,,0,0.451947659,0.016224146,0.200759172,0.090732642,0.260942608,,0.451947659,25986,16233210,12053,162332100,CHATTAHOOCHEE BANCORP INC,,,,,,I,,,,,,,,,,,,,,,,
980,365193020,32165,349630,Public,100,100,,100,9/13/1993,"AmSouth Bancorp,Birmingham, Alabama",Fortune Bancorp Inc,6712,6036,285.55,Merger,CHOICECS,Choice between Cash or Stock or Combination of Both,1,Friendly,34.45,31.23,21.41,365193020,-0.035078313,-0.021316029,-0.027067546,-0.017074946,-0.020922454,-0.024016019,0.038300261,0.035201386,0.065477125,0.091534421,0.114820428,1.31238091,1.31238091,1619,3216510,12053,32165102,AMSOUTH BANCORPORATION,9750.688,,498.953,829.657,,,I,6020,,0.014557024,1311.263062,,0,0.521600127,0.016001742,0.281101704,0.146622673,0.259667546,,0.521600127,16229,34963010,11961,349630103,FORTUNE BANCORP,2550.147,,,,,I,0.002286535,98.19300079,,0,0,,0.038504839,0,,,0,,,,,
981,365218020,835495,293308,Public,100,100,,100,9/13/1993,Sonoco Products Co,Engraph Inc,2652,2657,296,Merger,CASHO,Cash Only,1,Friendly,15.63,20.23,19.09,365218020,0.027742868,0.06883315,0.046917945,0.064487711,0.068594113,0.10819079,0.164896652,0.176848873,0.188346505,0.171022937,0.205091521,1.202307701,1.202307701,9815,83549510,12053,835495102,SONOCO PRODUCTS CO,1246.531,61.385,532.311,1838.026,,15.4,A,2650,,0.131095812,2080.561768,0.066832677,0.012354285,0.131859183,0.492581397,1.922592998,0.253511548,0.10327547,0.121829689,0.131859183,4388,29330810,12053,293308102,ENGRAPH INC,161.617,10.826,235.385,,,I,0.129330456,177.7324982,0.064751849,0,0.201978758,0.430443585,1.448724508,0.278337061,0.179663107,0.005285052,0.201978758,,,,,
982,365284020,493263,201133,Public,100,100,,100,9/13/1993,"KeyCorp,Albany,New York (Key Corp,Cleveland Ohio)",Commercial Bancorporation of Colorado,6021,6022,90.62,Merger,SHARES,Stock Only,1,Friendly,28.99,26.04,29.56,365284020,-0.003769102,-0.014898419,-0.009886565,-0.021454476,-0.004095158,-0.016898146,0.210522488,0.187173381,0.175081491,0.183462322,0.216826946,1.260434747,1.260434747,9783,49326710,12053,493267108,KEYCORP,24978.297,,1212.638,2404.968,,,A,6020,,0.017559404,3687.757324,,0,0.520090163,0.016276529,0.310039997,0.15999946,0.266986907,,0.520090163,16787,20113310,12053,201133105,COMMERCIAL BANCORPORATION CO,,,,,,I,,42.19200134,,,0,,,,,,0,,,,,
983,366358020,571834,919291,Public,100,100,,100,9/20/1993,"Marshall & Ilsley Corp, Milwaukee,Wisconsin","Valley Bancorp,Appleton, Wisconsin",6021,6022,819.7,Merger,SHARES,Stock Only,1,Friendly,39.56,-9.58,18.98,366358020,-0.079746529,-0.107971661,-0.095462196,-0.070130117,-0.04401236,-0.061097033,0.103128962,0.083671629,0.058202919,0.070913218,-0.085053809,0.904228568,0.904228568,7067,57183710,12053,571837103,MARSHALL & ILSLEY CORP,7850.344,22.059,663.364,797.948,,,I,6020,,0.022222849,1362.201294,,0,0.333162427,0.021513579,0.262575656,0.086693905,0.348930001,,0.333162427,11886,91929110,12053,919291104,VALLEY BANCORPORATION/WI,4384.305,115.426,380.92,,,I,0.013077329,506.4160461,,0,0.234581769,0.023603514,0.150906488,0.03539991,0.309540063,,0.234581769,,,,,
984,366706020,60716,66522,Public,100,100,,100,9/21/1993,"Bank of Boston Corp,Boston, Massachusetts","BankWorcester Corp,Worcester Massachusetts",6021,6021,226.9,Merger,CASHO,Cash Only,1,Friendly,34,34.65,23.08,366706020,-0.002986276,0.01058543,-0.011381221,-0.031397246,-0.02172647,-0.012072628,0.107964106,0.096397512,0.098342814,0.089432523,0.122250624,1.34653461,1.34653461,2014,06605R10,12053,06605R106,BANKBOSTON CORP,32346.098,447.832,989.071,5291.743,,,I,6020,,0.010395938,2160.666016,,0,0.63805908,0.013801788,0.198110476,0.117757604,0.158517152,,0.63805908,16685,6652210,12053,66522103,BANKWORCESTER CORP,1440.352,,,,,I,0.004938376,114.0224991,,0,0,,0.07916294,0,,,0,,,,,
985,367034020,741589,894180,Public,75.88,100,24.1,100,9/22/1993,Primerica Corp,Travelers Corp,6282,6331,3955.9,Merger,SHARES,Stock Only,1,Friendly,36.99,7.22,2.75,367034020,0.003463649,0.011681637,0.008971688,0.015601096,0.013437691,0.012934115,0.039188042,0.048159916,0.039216284,0.03726599,0.041934785,1.072173953,1.072173953,3243,17296742,12053,172967424,CITIGROUP INC,23397.106,1321.8,2367.2,5099.496,,,A,6199,,0.079569675,5368.604004,,0,0.708560705,,0.800141871,0.557863891,,,0.708560705,10705,89418010,12053,894180108,TRAVELERS CORP,53601.898,3062.5,9676,,,I,-0.02524351,3924.572266,,0,0.327393621,,0.120045602,0.035638664,,,0.327393621,,,,,
986,367285020,268258,879427,Public,100,100,,100,9/14/1993,ECI Telecom Ltd,Telematics International Inc,3663,3661,278.5,Merger,SHARES,Stock Only,1,Friendly,16.34,37.6,21.04,367285020,-0.0127309,0.068207294,0.063624047,0.084752247,0.01346133,0.022539681,0.094398104,0.116580211,0.073439181,0.070197836,0.126332462,1.376000047,1.376000047,4140,26825810,12053,268258100,ECI TELECOMMUNICATIONS  -ORD,189.324,0,81.582,160.54,0.822,19.211,I,3661,,0.257959902,1100.984985,0.017451564,0.101471551,0.001195679,0.164754599,5.822309971,0.006961611,0.287056178,2.269809723,0.001195679,13164,87942710,12053,879427102,TELEMATICS INTL INC,55.252,-3.271,67.254,1.116,13.46,I,0.12669225,141.2870026,0.05161804,0.243611097,0,0.072232679,2.557138205,0,0.500877261,2.71790576,0,,,,,
987,367610020,641217,124647,Public,100,100,,100,9/27/1993,Network Systems Corp,Bytex Corp,3575,3661,49,Merger,OTHER,Other,1,Friendly,6.8,51.11,55.43,367610020,0.022671076,0.021813374,0.044807974,-0.008724569,0.065783001,0.05674997,0.497906715,0.501680136,0.489922076,0.5282709,0.601131499,1.51111114,1.51111114,7821,64121710,12053,641217104,NETWORK SYSTEMS CORP,293.425,0,111.933,219.118,,28.525,I,3576,,-0.111779839,406.4528809,0.046979636,0.097213939,0.002454272,0.125575528,1.388610005,0.003408026,0.430521458,1.287319899,0.002454272,15353,12464710,12053,124647108,BYTEX CORP,40.619,13.68,40.26,,7.74,I,-0.119328387,30.66862488,0.070927396,0.190551221,0,0.143159598,0.755031526,0,0.646472931,1.996110797,0,,,,,
988,369275020,404382,937265,Public,100,100,,100,10/27/1993,"Hudson United Bancorp, Mahwah,New Jersey",Washington Bancorp Inc,6022,6036,40,Merger,CHOICECS,Choice between Cash or Stock or Combination of Both,1,Friendly,16.1,130,46.36,369275020,-0.052802853,-0.014860989,-0.030662743,-0.062729396,0.039435159,-0.048547149,0.111143455,0.099731773,0.194627106,0.079153001,0.035345297,2.299999952,2.299999952,5417,44416510,12053,444165104,HUDSON UNITED BANCORP,931.911,0,17.476,75.303,,,I,6020,,0.010950617,113.1478806,,0,0.111037888,0.016200045,0.136580512,0.015165612,0.247612983,,0.111037888,17324,93726510,12053,937265106,WASHINGTON BANCORP INC,,,,,,I,,14.99549961,,,0,,,,,,0,,,,,
989,369279020,902760,918283,Public,100,100,,100,10-04-1993,UJB Financial Corp,VSB Bancorp Inc,6021,6022,71.68,Merger,SHARES,Stock Only,1,Friendly,21.25,16.44,13.33,369279020,-0.021751394,-0.028283406,-0.033623107,-0.036241222,-0.005648878,-0.022576306,0.06934122,0.069381177,0.080518365,0.092519119,0.071741104,1.164383531,1.164383531,10909,86600510,12053,866005101,SUMMIT BANCORP,13770.898,31.556,458.88,1129.55,,,I,6020,,0.005219703,1233.451172,,0,0.427336872,0.012574343,0.158587635,0.066839144,0.280469209,,0.427336872,17270,91828310,11961,918283102,VSB BANCORP INC,,,,,,I,,35.2274971,,,0,,,,,,0,,,,,
990,369710020,879240,530715,Public,95,100,5,100,10-06-1993,Tele-Communications Inc,Liberty Media Corp,4841,4841,3411,Merger,SHARES,Stock Only,1,Friendly,26,9.47,10.64,369710020,0.00189517,0.074160591,0.129092366,0.121605136,0.216228381,0.206603304,0.154536143,0.087145768,0.060920328,0.006494075,0.132866368,1.094736814,1.094736814,10393,87924V10,12053,87924V101,TELE-COMM TCI GROUP  -SER A,13164,6399,-600,3574,21,,I,4841,10499,0.064494073,9139.527344,0.049377088,0,0.529485226,0.333029479,1.483935475,0.781297505,0.254616678,,0.529485226,23773,53071530,12053,530715309,LIBERTY MEDIA CORP  -CL A,808.9,0,156.513,7.299,,I,0.037364323,1507.121948,0.019218693,0,0.10010425,0.043855853,2.262399435,0.207259238,0.215771213,,0.10010425,,,,,
991,369877020,84760C,7954,Public,100,100,,100,10-07-1993,Spectranetics Corp,Advanced Interventional Systems Inc,3841,3845,27.365,Merger,SHARES,Stock Only,1,Friendly,2.71,8.4,20.44,369877020,0.380750567,0.097500198,0.252679884,0.275874496,0.307479292,0.374023467,0.329787672,0.320558369,0.405648917,0.358076334,0.528968453,1.083999991,1.083999991,24853,84760C10,12053,84760C107,SPECTRANETICS CORP,31.508,0,-38.031,3.915,,6.511,A,3845,11760,-0.47299099,71.89150238,0.02548559,0.206645936,0.005023908,0.081534848,2.293211222,0.011520884,3.606130362,6.605752945,0.005023908,24654,795410,12053,7954100,ADVANCED INTERVENTIONAL SYS,33.141,-30.988,14.017,0.267,5.096,I,-0.29422769,30.74507713,0.031592287,0.153767243,0.021701032,0.103648052,0.948283911,0.02057874,1.097453117,3.942048311,0.021701032,,,,,
992,370011020,G3682L,794499,Public,100,100,,100,10-08-1993,Fruit of the Loom Inc,Salem Sportswear Corp,2254,2329,124.7,Merger,CASHO,Cash Only,1,Friendly,12.75,112.5,104,370011020,-0.020673465,0.003737951,0.020595524,0.01137995,-0.01149705,0.0040168,0.753205836,0.770896673,0.650388241,0.695271909,0.657433867,2.125,2.125,13099,G3682L10,12053,G3682L105,FRUIT OF THE LOOM LTD  -CL A,2281.9,810.8,396.6,1855.1,62.5,,I,2250,,0.176168978,3673.813232,0.040843155,0,0.204511896,0.301108718,2.023889303,0.413909465,0.121287264,0.132380068,0.204511896,25335,79449910,11931,794499103,SALEM SPORTSWEAR CORP,73.667,2.639,119.82,,,I,0.114108078,97.83999634,0.018284986,0,0.149298772,0.112194061,1.561228156,0.233089447,0.2967785,0.002027532,0.149298772,,,,,
993,370227020,908068,880432,Public,100,100,,100,9/30/1993,"Union Planters Corp,Memphis, Tennessee",Tennessee Bancorp Inc,6021,6035,13.5,Merger,CASHO,Cash Only,1,Friendly,23.6,31.11,31.11,370227020,-0.013939361,-0.018060287,-0.034858,-0.051787768,-0.104473941,-0.095909342,0.210267141,0.215910971,0.221623927,0.272286564,0.02080936,1.311111093,1.311111093,10868,90806810,12053,908068109,UNION PLANTERS CORP,5262.184,37.53,129.828,423.825,,,I,6020,,0.010762641,407.1332397,,0,0.478436351,0.018951828,0.163896069,0.070972055,0.23626025,,0.478436351,18251,88043210,12053,880432109,TENNESSEE BANCORP INC,,,,,,I,,6.210000038,,,0,,,,,,0,,,,,
994,370236020,338915,858906,Public,100,100,,100,10-11-1993,"Fleet Financial Group Inc, Boston,Massachusetts","Sterling Bancshares Corp Waltham,Massauchusetts",6021,6036,124.82,Merger,SHARES,Stock Only,1,Friendly,39.5,54.9,51.2,370236020,-0.015710842,-0.006970704,-0.047733042,-0.064209096,-0.087577015,-0.09674488,0.335642278,0.340358138,0.366561472,0.354622275,0.302901089,1.549019575,1.549019575,4764,33903010,12053,339030108,FLEETBOSTON FINANCIAL CORP,46938.5,908.418,1216.632,4852.123,,,I,6020,,0.010830534,4040.695068,,0,0.716470182,0.013925136,0.316706091,0.217533559,0.267410994,,0.716470182,17320,85890610,12053,858906100,STERLING BANCSHARES CORP/MA,,,,,,I,,57.27149963,,,0,,,,,,0,,,,,
995,370418020,701545,320019,Public,72.1,100,27.9,100,10-12-1993,Parkway Co,First Continental Real Estate Investment Trust,6512,6798,4.04,Merger,SHARES,Stock Only,1,Friendly,1,817.43,817.43,370418020,-0.016014075,0.027943304,-0.092053242,-0.101383306,-0.085562445,0.145252019,,,,,,9.174311638,9.174311638,8363,70159Q10,11869,70159Q104,PARKWAY PROPERTIES INC,54.581,0,0.131,7.817,,,A,6798,,-0.007511772,6.625498295,0,0,0.80608201,0,0.625977874,0.504589498,,,0.80608201,4697,20281510,8459,202815106,COMMONWEALTH FINANCIAL GROUP,24.925,0.909,4.166,,0,I,0.1342026,23.95574951,0,0,0.091061726,0,1.057402134,0.096288867,,0.089862607,0.091061726,,,,,
996,370426020,318906,501918,Public,100,100,,100,10-12-1993,"First of America Bank Corp, Kalamazoo,Michigan",LGF Bancorp,6021,6035,67.78,Merger,SHARES,Stock Only,1,Friendly,36.44,42.9,30.14,370426020,-0.014398169,-0.014200671,-0.016934197,-0.0513638,-0.062713988,-0.081801213,0.124555916,0.137807444,0.135972634,0.148259148,0.144730359,1.42901957,1.42901957,4680,31890610,12053,318906104,FIRST OF AMERICA BANK CORP,20146.797,124.179,479.474,1857.443,,,I,6020,,0.012954217,2159.404053,,0,0.215183988,0.018646885,0.140273616,0.029387997,0.286024392,,0.215183988,25400,50191810,12053,501918106,LGF BANCORP INC,,,,,,I,,,,,,,,,,,,,,,,
997,370459020,93671,552694,Public,100,100,,100,10-12-1993,H&R Block Inc,MECA Software Inc,7291,7372,30.8,Merger,CASHO,Cash Only,1,Friendly,6.63,39.47,29.27,370459020,0.012625124,0.019371992,0.013609456,0.01509834,0.021361606,0.00190394,0.150436476,0.212772325,0.161510274,0.217378244,0.254690796,1.395789504,1.395789504,2269,9367110,11808,93671105,BLOCK H & R INC,962.664,122.314,574.377,1336.789,,,A,7200,,0.279989719,3451.110352,0.045978658,0,0.028524602,0.128285676,3.690220356,0.105262063,,0.836833894,0.028524602,22805,55269410,11869,552694101,MECA SOFTWARE INC,13.249,-7.083,20.596,3.5,8.092,I,-0.585478187,12.87137508,0.074194282,0.610763073,0.07275936,0.174503729,1.047729969,0.076232173,0.78835696,0.368521303,0.07275936,,,,,
998,370639020,218695,374086,Public,100,100,,100,10/13/1993,"CoreStates Financial Corp, Philadelphia,Pennsylvania",Germantown Savings Bank,6022,6036,260,Merger,CHOICECS,Choice between Cash or Stock or Combination of Both,1,Friendly,62,63.16,43.35,370639020,-0.02340336,-0.034456104,-0.081505917,-0.093413867,-0.077579901,-0.047525529,0.144465953,0.141724288,0.152547017,0.158588856,0.161212638,1.631578922,1.631578922,3527,21869510,12053,218695104,CORESTATES FINANCIAL CORP,23699.098,,1096.961,2133.869,,,I,6020,,0.016442144,3336.100098,,0,0.476073891,0.014479032,0.268681169,0.127912089,0.331111223,,0.476073891,16945,37408610,12053,374086106,GERMANTOWN SVGS BANK,1555.429,,,,,I,0.008206096,106.7949982,,0,0,,0.068659514,0,,,0,,,,,
999,370755020,708225,268840,Public,100,100,,100,10/14/1993,"PennFirst Bancorp Inc,Ellwood, Pennsylvania",ESB Bancorp Inc,6035,6021,29.444,Merger,UNKNOWN,Unknown,1,Friendly,31.79,47.87,33.16,370755020,0.011280823,-0.034874313,-0.018882828,0.004161262,-0.016460678,-0.038023319,0.038093854,0.055840876,0.026892643,0.129728913,0.14493455,1.478604674,1.478604674,22306,26884F10,12053,26884F102,ESB FINANCIAL CORP,,,,,,,I,6036,,,28.04998016,,,0,,,,,,0,17971,26884010,12053,268840105,ESB BANCORP INC,,,,,,I,,15.84000015,,,0,,,,,,0,,,,,
1000,370766020,647473,137418,Public,100,100,,100,10/14/1993,New Milford Bank & Trust Co,Candlewood Bank & Trust Co,6022,6022,5.8,Merger,CASHO,Cash Only,1,Friendly,10.08,144.36,137.18,370766020,-0.078001089,0.133794993,0.015554382,0.117702119,0.07128147,-0.077533819,1.028569579,1.00876081,1.008528709,1.109845281,0.968234539,2.443636417,2.443636417,19078,62918910,12053,629189101,NMBT CORP,,,,,,,I,6020,,,8.225999832,,,0,,,,,,0,17601,13741810,12143,137418109,CANDLEWOOD BANK & TRUST/CT,,,,,,I,,3.737499952,,,0,,,,,,0,,,,,
1001,371240020,169617,43009,Public,100,100,,100,10/18/1993,Chipcom Corp,Artel Communications Corp,3613,3663,39,Merger,SHARES,Stock Only,1,Friendly,,,,371240020,-0.070103116,-0.115192205,-0.057884216,0.000700721,-0.059951346,-0.040081941,-0.127420262,-0.049756404,-0.111526132,-0.057416372,-0.032729648,,,23987,16961710,12053,169617107,CHIPCOM CORP,78.513,8,11.873,87.278,2.074,12.76,I,3576,11445,0.176391169,235.8486176,0.036478035,0.162520856,0.022675229,0.127405658,3.073638916,0.069695465,0.44989574,1.378312588,0.022675229,1779,4300910,12053,43009109,ARTEL COMMUNICATIONS CORP,3.702,-10.686,4.987,0.274,2.063,I,-0.831172347,9.656624794,0.054565098,0.557266355,0.004330511,0.19205834,2.619833708,0.011345219,1.04010427,0.222083598,0.004330511,,,,,
1002,371400020,504195,504196,Public,90.14,100,9.9,100,5/28/1993,La Quinta Inns Inc,La Quinta Motor Inns LP,7011,7011,46.4,Merger,CASHO,Cash Only,1,Friendly,13,46.48,40.54,371400020,0.009326863,0.019369606,0.018922925,0.029487731,0.03021699,0.055254169,0.025328659,0.034987189,0.001181946,0.016932005,0.009227295,1.464788675,1.464788675,6541,50419510,11687,504195108,LA QUINTA INNS INC,574.687,,89.527,242.506,6.216,0,I,7011,,0.070043348,191.5448914,0.056354154,0,0.638372719,0.876640677,0.921675444,0.588372469,0.081165001,0.148288503,0.638372719,13564,50419610,11687,504196106,LA QUINTA MOTOR INNS  -LP,118.498,,41.66,1.089,0,I,0.051173862,24.34687424,0.052819457,0,0.73973608,0.975847721,0.789438426,0.58397609,0.013586174,0.095145255,0.73973608,,,,,
1003,372434020,923395,75409P,Public,100,100,,100,10/25/1993,Verdix Corp,Rational Software Corp,7372,7372,56,Merger,SHARES,Stock Only,1,Friendly,2.53,-19.2,-20.8,372434020,0.162064344,0.126028538,0.161155775,0.070686251,0.108465686,0.070982032,0.108465686,0.070686251,0.161155775,0.126028538,0.162064344,0.809599996,0.809599996,11135,75409P20,12143,75409P202,RATIONAL SOFTWARE CORP,27.222,0,0.119,23.292,0.27,5.824,I,7370,,0.123686723,50.39123535,0.068069942,0.213944599,0.028663272,0.088494599,1.905746698,0.054624934,0.547913432,1.657660246,0.028663272,11135,75409P20,12143,75409P202,RATIONAL SOFTWARE CORP,27.222,0.119,23.292,0.27,5.824,I,0.123686723,50.39123535,0.068069942,0.213944599,0.028663272,0.088494599,1.905746698,0.054624934,0.547913432,1.657660246,0.028663272,,,,,
1004,374665020,679833,280071,Public,100,100,,100,11-02-1993,"Old Kent Financial Corp,Grand Rapids,Michigan",EdgeMark Financial Corp,6022,6022,62,Merger,SHARES,Stock Only,1,Friendly,,,,374665020,-0.039716065,-0.033589993,0.00181203,-0.010622145,-0.035584975,-0.03090097,0.485882819,0.45938015,0.539523721,0.535152316,0.469677418,,,8118,67983310,12053,679833103,OLD KENT FINANCIAL CORP,8698.57,49.255,567.597,815.24,,,I,6020,,0.01884873,1369.971802,,0,0.319555998,0.013465201,0.231457561,0.07396365,0.207526624,,0.319555998,27787,28007110,12053,280071101,EDGEMARK FINANCIAL CORP,,,,,,I,,,,,,,,,,,,,,,,
1005,374952020,595647,313808,Public,100,100,,100,11-03-1993,"MidConn Bank,Kensington, Connecticut",Federal Savings Bank,6036,6035,13.2,Merger,CASHO,Cash Only,1,Friendly,15.5,24,14.81,374952020,-0.12102259,-0.063278057,-0.058767818,-0.122328259,-0.12697573,-0.113174364,0.040020917,0.05348739,-0.011374424,0.070672482,0.164263442,1.24000001,1.24000001,17046,59564710,11961,595647108,MIDCONN BK KENSINGTON CT,,,,,,,I,6036,,,13.55749989,,,0,,,,,,0,16758,31380810,11869,313808107,FEDERAL SVGS BK NEW BRITN CT,,,,,,I,,3.191250086,,,0,,,,,,0,,,,,
